# This file was produced by samtools stats (1.11+htslib-1.11) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -d results/08_bqsr/bam/21-01533.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	16139886	c8661f5d	bdac51e8
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	172951045
SN	filtered sequences:	110952011
SN	sequences:	61999034
SN	is sorted:	1
SN	1st fragments:	30999517
SN	last fragments:	30999517
SN	reads mapped:	61999034
SN	reads mapped and paired:	61999034	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	61999034	# proper-pair bit set
SN	reads paired:	61999034	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	520742	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	11226872
SN	total length:	6664119052	# ignores clipping
SN	total first fragment length:	3002228422	# ignores clipping
SN	total last fragment length:	3661890630	# ignores clipping
SN	bases mapped:	6664119052	# ignores clipping
SN	bases mapped (cigar):	5961352743	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	0	# from NM fields
SN	error rate:	0.000000e+00	# mismatches / bases mapped (cigar)
SN	average length:	107
SN	average first fragment length:	97
SN	average last fragment length:	118
SN	maximum length:	122
SN	maximum first fragment length:	98
SN	maximum last fragment length:	122
SN	average quality:	22.6
SN	insert size average:	1572.7
SN	insert size standard deviation:	2189.3
SN	inward oriented pairs:	38782052
SN	outward oriented pairs:	3069925
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	15	65	1146	4805	10666	14852	39874	16993	16034	24671	22284	29057	27089	26338	39963	42100	51198	64164	87151	106871	152269	1180194	879656	1635148	7297145	7940557	3858416	3172072	3151954	1106785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	16	77	1677	6455	15096	20519	53195	22482	22226	33053	30009	36152	39211	31249	54994	49844	63049	79794	99029	108023	155758	219850	1390023	1001702	1815569	8255719	6746868	4311844	2516812	2826138	993100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	17	82	1773	6700	16540	22725	56758	25520	28901	32862	33861	38325	38236	44411	51344	51123	63665	79128	110939	96506	175904	245242	1380965	1055132	1820887	8082354	6820430	4269122	2557142	2772267	1020673	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	18	16344	1787	6779	15210	21311	56300	24270	24471	35431	32591	37994	41847	41998	50344	57721	69694	82138	95045	133766	183116	284407	1450492	1044859	2136804	7579182	6974293	4044479	2591520	2820313	1045011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	19	108	1743	6530	15784	21971	55040	23047	26136	32485	30611	38465	36919	43990	48053	54708	59369	84870	106868	109040	145253	191108	1321869	986349	1818374	7757280	7105498	4197988	2765664	2857671	1056726	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	20	16320	1804	6846	16030	21965	57226	24415	24520	33345	33513	39191	34703	37623	58815	53356	65731	80442	114201	100501	177909	266691	1360125	1041775	1968210	7918623	6831228	4209868	2545561	2859757	999223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	21	103	1768	6767	15533	21859	56345	24449	26730	31859	33577	38372	39268	41995	49387	49138	69213	81494	110180	102300	163635	233659	1386590	996502	1835240	7921685	6913538	4206342	2645622	2824973	1071394	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	22	100	1884	7014	16574	22644	58591	24127	26826	33595	32857	38270	34700	41570	54086	52306	63200	85861	96827	119016	155228	224774	1332905	993832	1922444	7914997	6956356	4188222	2663233	2780092	1057386	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	23	104	1868	7080	16974	22622	57095	25941	24420	35385	31835	38275	41128	40183	54412	57487	63634	83444	114989	117503	161675	211582	1371675	994778	1794066	7871648	6976982	4195358	2745486	2792048	1049840	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	24	111	1957	7030	16521	22592	59008	24722	28295	37186	34968	36391	39499	49890	51955	63744	56600	72261	116900	113605	173772	246943	1346041	1065021	1857679	7842003	6922367	4200834	2639716	2807363	1064543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	25	112	1946	7199	17263	23278	59358	25968	27094	35368	34442	41896	36071	47028	45775	63090	64731	82860	96071	112016	176832	213533	1338950	969249	1794245	7739594	7130548	4166023	2769675	2837716	1041586	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	26	117	2062	7343	17724	23866	61203	26822	31106	36928	34879	40825	42720	45229	60476	55515	60440	100447	100375	129487	166928	267338	1367882	1042624	1816367	7758347	7014998	4158487	2694323	2818727	1015932	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	27	126	1997	7340	17242	23824	61238	28351	30640	34643	39244	42853	40878	48457	54617	56123	71558	92539	105567	113811	179333	244356	1423941	1041219	1799557	8092720	6762523	4259774	2520314	2783661	1021071	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	28	93	2034	7417	17629	24033	62689	28381	29275	37881	36049	41574	43186	49988	49060	58232	68376	87885	113879	103638	188212	233218	1389688	1009314	1788727	8032114	6889885	4251814	2598480	2761592	995174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	29	135	1988	7551	17885	23891	62890	28781	32855	35844	39906	42760	45227	47197	52918	64039	70218	78713	109497	113378	183015	250413	1348305	1019770	1843582	7771805	6970788	4178988	2728724	2821006	1007448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	30	99	2059	7691	18153	24496	63469	28285	29418	41961	36083	41901	40527	54778	52698	67219	63216	90089	120885	106337	192232	235241	1423038	1042603	1910046	8065152	6679843	4263340	2510235	2776421	1012002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	31	120	2075	7756	18234	24425	65431	29522	32817	38453	41765	45361	44544	51286	60722	62108	77114	88376	122051	110319	180953	256714	1349414	1041432	1772319	7972959	6886522	4218749	2620437	2776494	1001045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	32	137	2202	7722	18696	25354	65814	31193	32509	38312	43032	45197	40231	54553	57113	60402	79365	86067	116161	114993	189392	239720	1353060	1015481	1832855	7787144	6945784	4177082	2728776	2807432	1003738	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	33	93	2231	7988	18799	25751	65468	31257	30790	39390	42087	41931	46634	50260	58647	64387	78308	93625	117041	119900	178829	311348	1378696	1121274	1988793	7957093	6683510	4251974	2431694	2763259	998460	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	34	113	2145	8012	19052	25879	66988	30918	33966	41050	40762	44486	48941	51443	62813	66255	75989	88726	123933	118291	220259	320748	1391011	1183179	1900635	7824757	6862193	4212187	2383771	2800861	950154	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	35	99	2259	7977	18996	26182	66998	32191	33829	39404	43158	44555	48516	49414	61779	61572	73563	92824	123955	113553	179388	309504	1376706	1144713	1991592	7747636	6851176	4206787	2557015	2681020	1013156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	36	17008	2317	8290	19471	26925	68919	31861	34806	41363	41045	45421	49520	52494	58270	70738	71437	96223	127258	119963	215446	249740	1390221	1051410	1809483	8004708	6730729	4250404	2542359	2790215	979755	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	37	99	2319	8201	19348	26812	68769	31520	36081	39689	43641	47761	46658	53908	64467	62129	83875	97320	121241	114369	204461	288291	1370092	1056059	1927394	7817406	6938209	4161485	2516390	2820076	927815	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	38	90	2371	8475	20029	27091	70017	33409	35672	42012	42899	46869	50441	54157	61369	69295	72578	106679	123405	135767	204927	384992	1391662	1163404	2297597	7789562	6625371	4163600	2377403	2662242	930601	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	39	80	2415	8650	20402	27586	71104	33888	35797	43044	43495	48683	50111	53836	65056	66758	77609	100407	119833	133479	203361	336407	1410438	1112879	1957158	7984506	6713051	4177754	2405801	2715691	972665	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	40	79	2619	8647	20252	28096	71850	33656	36350	43046	43887	50372	47846	57204	68379	71984	79789	101056	132643	155746	212208	318880	1426623	1114293	1772943	7957402	6820449	4190913	2443436	2763021	916123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	41	79	2620	8964	21414	29292	74620	35487	37604	45114	47159	51410	48272	61960	64521	78884	75964	113907	121360	145540	225491	357815	1428696	1147145	2093972	7809536	6687537	4185142	2355109	2710565	922289	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	42	87	2676	9139	20936	28705	73359	34579	36707	44217	45446	52495	47248	60914	63306	71461	80443	99812	127898	132728	223786	430709	1542332	1181370	2820051	7424808	6597264	4034121	2166106	2567630	964459	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	43	84	2541	9099	21357	28802	74829	35328	37329	45141	47019	49607	51586	60379	64554	71627	87447	89713	134094	131916	216917	282741	1379164	1000800	1855072	7826481	6886090	4173166	2572284	2832339	914373	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	44	81	2701	9453	22061	29822	76752	36436	38818	46409	48244	52344	51880	66709	65728	82524	89272	126977	126399	163450	222278	357823	1394489	1185768	1792123	8095768	6549036	4257181	2384140	2699841	904411	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	45	309	3180	14055	24893	37789	98530	45762	43817	55391	56971	60270	67010	72305	80120	77304	114344	134940	133392	221633	226077	535197	1583377	1193274	2998040	7046792	6661679	3895562	1989294	2560271	944593	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	46	71	2634	9538	21963	29794	77486	36882	38922	46394	48929	53337	50675	64130	70061	70398	94658	95238	139771	146446	222579	412381	1455380	1174575	2537680	7679906	6569134	4065440	2287241	2573041	898480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	47	106	2741	9622	22325	30247	77806	37118	39255	46769	49310	54197	53436	62421	68495	78109	88498	107732	130895	149887	238682	321143	1430992	1150733	1803148	8107149	6559625	4261180	2399549	2688883	899963	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	48	79	2765	9777	22373	30830	78753	37304	39360	47916	49283	53367	55180	64880	66469	83968	84655	110678	135515	151739	225355	387500	1451876	1180438	2244490	7788880	6569957	4104384	2330762	2622643	935450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	49	127	2809	10020	23379	31353	81420	38740	40884	49275	51717	57734	55144	63957	77182	78435	103340	112986	129863	172302	237895	433167	1419897	1206584	2144248	7874548	6590515	4181830	2135654	2670924	887170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	50	91	2905	10224	23330	31440	81227	38283	39755	50314	50027	55178	54213	65924	67918	80974	91004	110849	130262	135242	248025	355029	1400821	1144880	1997174	7850706	6689163	4150206	2411780	2701570	890248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	51	97	2983	10487	23732	32051	82318	39049	40662	49879	52232	57299	57631	66392	70783	92152	95809	130417	127652	189760	252853	457323	1417213	1227646	2389335	7574068	6612798	4055902	2238704	2586693	919942	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	52	43163	3693	12158	25760	35548	88898	43927	43411	53887	56418	61290	65067	77455	75933	100687	115398	129416	165015	194629	320092	498502	1513329	1279674	2541564	7408027	6572033	3965377	1995217	2587647	874761	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	53	106	3114	10701	24585	32982	85182	40455	42395	51267	53229	59025	58527	70627	76607	86807	106795	124586	146159	164019	229590	386542	1442384	1248308	2011905	7839614	6584187	4174097	2270353	2650927	866128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	54	215	3157	11037	24528	34205	87836	40669	42893	52257	54208	60017	59866	74192	71428	95628	102503	145481	141530	173569	264431	496934	1401097	1343927	2209695	7667205	6490374	4094550	2199466	2588008	903437	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	55	81	3143	10848	25117	33587	87311	41241	43305	52026	54455	59300	59211	71437	72602	85479	98764	120345	137215	155105	255623	399673	1469993	1190260	2256533	7814238	6523336	4187322	2104368	2655752	859480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	56	108	3225	11315	24979	33737	88241	41518	43453	53023	55143	59419	59109	72243	73448	97003	90239	137377	138948	175973	266487	384925	1419577	1285690	1910177	7917205	6495474	4197625	2270475	2643141	870138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	57	78	3303	11464	25584	34407	88564	41965	43650	53642	55221	60655	59564	75401	77735	85741	113274	124447	148677	176504	255404	469469	1480094	1299644	2566256	7499724	6436841	4040157	2188710	2499820	895742	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	58	104	3467	11583	26426	35126	91654	43762	44457	56771	57294	63496	65136	70683	89416	86805	117871	127908	159715	208305	254307	494647	1405407	1331623	2242901	7658421	6520144	4132775	2018486	2638388	846074	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	59	74	3427	11965	26859	35523	92290	43534	45856	55884	58402	61217	64802	73378	89323	94761	104601	147422	153141	199943	254138	430473	1448270	1251644	2111614	7815636	6407485	4145535	2268684	2547459	850875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	60	82	3475	12088	27029	35720	93827	43507	45512	56361	58023	63577	63765	75926	82378	94282	118959	130106	164319	194350	280833	486988	1468698	1311755	2306981	7531948	6527116	4092997	2025402	2604497	883344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
